DATE,OPEN,HIGH,LOW,CLOSE
24-02-1988,0.381696,0.383929,0.375,0.377232
25-02-1988,0.375,0.383929,0.372768,0.372768
26-02-1988,0.375,0.377232,0.368304,0.372768
29-02-1988,0.372768,0.386161,0.370536,0.383929
01-03-1988,0.386161,0.388393,0.379464,0.386161
02-03-1988,0.390625,0.401786,0.388393,0.399554
03-03-1988,0.397321,0.419643,0.397321,0.415179
04-03-1988,0.410714,0.419643,0.40625,0.418527
07-03-1988,0.417411,0.426339,0.415179,0.418527
08-03-1988,0.417411,0.419643,0.410714,0.412946
09-03-1988,0.412946,0.421875,0.412946,0.417411
10-03-1988,0.419643,0.421875,0.404018,0.404018
11-03-1988,0.40625,0.408482,0.397321,0.408482
14-03-1988,0.408482,0.415179,0.40625,0.412946
15-03-1988,0.410714,0.412946,0.399554,0.401786
16-03-1988,0.40067,0.414063,0.397321,0.41183
17-03-1988,0.412946,0.415179,0.399554,0.401786
18-03-1988,0.401786,0.40625,0.395089,0.399554
21-03-1988,0.396205,0.398438,0.383929,0.391741
22-03-1988,0.392857,0.397321,0.386161,0.392857
23-03-1988,0.392857,0.392857,0.373884,0.379464
24-03-1988,0.372768,0.379464,0.357143,0.364955
25-03-1988,0.363839,0.368304,0.357143,0.358259
28-03-1988,0.357143,0.372768,0.352679,0.370536
29-03-1988,0.370536,0.375,0.362723,0.366071
30-03-1988,0.363839,0.368304,0.345982,0.352679
31-03-1988,0.354911,0.361607,0.350446,0.357143
04-04-1988,0.354911,0.361607,0.34375,0.345982
05-04-1988,0.350446,0.352679,0.34375,0.350446
06-04-1988,0.352679,0.372768,0.348214,0.372768
07-04-1988,0.372768,0.378348,0.363839,0.363839
08-04-1988,0.363839,0.372768,0.354911,0.366071
11-04-1988,0.372768,0.375,0.366071,0.370536
12-04-1988,0.372768,0.377232,0.368304,0.372768
13-04-1988,0.372768,0.375,0.366071,0.368304
14-04-1988,0.361607,0.370536,0.348214,0.352679
15-04-1988,0.354911,0.357143,0.34375,0.352679
18-04-1988,0.354911,0.363839,0.350446,0.357143
19-04-1988,0.358259,0.370536,0.358259,0.359375
20-04-1988,0.359375,0.361607,0.350446,0.354911
21-04-1988,0.360491,0.361607,0.348214,0.352679
22-04-1988,0.354911,0.359375,0.352679,0.358259
25-04-1988,0.359375,0.366071,0.357143,0.364955
26-04-1988,0.366071,0.372768,0.363839,0.370536
27-04-1988,0.372768,0.375,0.370536,0.372768
28-04-1988,0.372768,0.375,0.368304,0.36942
29-04-1988,0.368304,0.370536,0.361607,0.366071
02-05-1988,0.363839,0.368304,0.361607,0.366071
03-05-1988,0.366071,0.377232,0.363839,0.372768
04-05-1988,0.373884,0.385045,0.372768,0.375
05-05-1988,0.375,0.377232,0.370536,0.372768
06-05-1988,0.371652,0.372768,0.368304,0.368304
09-05-1988,0.368304,0.368304,0.361607,0.363839
10-05-1988,0.361607,0.366071,0.359375,0.364955
11-05-1988,0.359375,0.363839,0.352679,0.352679
12-05-1988,0.352679,0.359375,0.352679,0.354911
13-05-1988,0.359375,0.361607,0.357143,0.361607
16-05-1988,0.361607,0.36942,0.357143,0.368304
17-05-1988,0.370536,0.375,0.359375,0.361607
18-05-1988,0.361607,0.363839,0.352679,0.354911
19-05-1988,0.352679,0.354911,0.34375,0.348214
20-05-1988,0.350446,0.352679,0.345982,0.345982
23-05-1988,0.34375,0.347098,0.333705,0.339286
24-05-1988,0.339286,0.348214,0.337054,0.347098
25-05-1988,0.348214,0.354911,0.34375,0.34375
26-05-1988,0.34375,0.352679,0.34375,0.351563
27-05-1988,0.350446,0.357143,0.348214,0.354911
31-05-1988,0.357143,0.370536,0.354911,0.370536
01-06-1988,0.370536,0.379464,0.368304,0.379464
02-06-1988,0.375,0.379464,0.370536,0.372768
03-06-1988,0.372768,0.386161,0.372768,0.383929
06-06-1988,0.381696,0.392857,0.381696,0.392857
07-06-1988,0.390625,0.404018,0.388393,0.392857
08-06-1988,0.395089,0.40625,0.392857,0.401786
09-06-1988,0.401786,0.404018,0.386161,0.388393
10-06-1988,0.388393,0.399554,0.383929,0.397321
13-06-1988,0.401786,0.404018,0.395089,0.401786
14-06-1988,0.404018,0.410714,0.401786,0.404018
15-06-1988,0.404018,0.408482,0.401786,0.408482
16-06-1988,0.401786,0.404018,0.395089,0.397321
17-06-1988,0.399554,0.399554,0.395089,0.399554
20-06-1988,0.396205,0.399554,0.392857,0.393973
21-06-1988,0.392857,0.401786,0.391741,0.40067
